time,trial_name,true_angle_deg,delay_samples,corrected_delay_samples,estimated_angle_deg,smoothed_angle_deg,angle_error_deg,confidence,mic1_rms,mic2_rms,beamformed_rms,valid
1780462893.6345856,test_-15_deg,-15,-21.35073492650308,-21.35073492650308,-42.69406391010265,-42.69406391010265,-27.69406391010265,3.8415478077386864,0.16144220530986786,0.08498292416334152,0.10667348653078079,True
1780462893.8823273,test_-15_deg,-15,-22.235477733698826,-22.235477733698826,-44.925139758645514,-43.80960183437408,-29.925139758645514,4.272883517867617,0.004455868154764175,0.004101851489394903,0.0036937587428838015,True
1780462894.1384284,test_-15_deg,-15,-22.840347818524048,-22.840347818524048,-46.50151132836421,-44.925139758645514,-31.50151132836421,6.064298413688976,0.005212301854044199,0.005212805233895779,0.00445128558203578,True
1780462894.3943455,test_-15_deg,-15,-22.062559880462448,-22.062559880462448,-44.48243394878198,-44.70378685371375,-29.48243394878198,5.171354052379613,0.005418831016868353,0.004713437054306269,0.004458070732653141,True
1780462894.6503687,test_-15_deg,-15,-21.971372250094173,-21.971372250094173,-44.25032377202009,-44.48243394878198,-29.25032377202009,4.058308118901757,0.005200095474720001,0.004330805968493223,0.003917556256055832,True
1780462894.9063911,test_-15_deg,-15,-20.224650712004365,-20.224650712004365,-39.965028820413025,-44.366378860401035,-24.965028820413025,4.023045492876199,0.00490760849788785,0.0035381398629397154,0.0035358176100999117,True
1780462895.1623998,test_-15_deg,-15,-21.112439029285962,-21.112439029285962,-42.10685800072753,-44.25032377202009,-27.106858000727527,4.222234532987364,0.004465559497475624,0.00421644002199173,0.0035524244885891676,True
1780462895.4183996,test_-15_deg,-15,-21.173939259308032,-21.173939259308032,-42.25788168466716,-44.25032377202009,-27.25788168466716,2.778569935372794,0.003853044705465436,0.003788491478189826,0.003047140082344413,True
1780462895.6744184,test_-15_deg,-15,-21.355199583670007,-21.355199583670007,-42.705118468076854,-42.705118468076854,-27.705118468076854,4.579709296593875,0.004588027019053698,0.003824228886514902,0.003586266189813614,True
1780462895.930449,test_-15_deg,-15,-22.501728369316066,-22.501728369316066,-45.6135582359761,-42.705118468076854,-30.6135582359761,4.2791718029244965,0.004411950241774321,0.0034251559991389513,0.0033350843004882336,True
1780462896.1864407,test_-15_deg,-15,-22.345981832764018,-22.345981832764018,-45.209847335512215,-42.705118468076854,-30.209847335512215,3.4860957105572536,0.004495381843298674,0.0038298992440104485,0.0033907366450875998,True
1780462896.442519,test_-15_deg,-15,-21.973877579866322,-21.973877579866322,-44.25668861447599,-42.705118468076854,-29.25668861447599,4.503197129989159,0.004555726423859596,0.003770390758290887,0.003548206062987447,True
1780462896.698454,test_-15_deg,-15,-22.519182498762017,-22.519182498762017,-45.65898198767955,-44.25668861447599,-30.658981987679553,3.6800791490560907,0.004502004012465477,0.00390683813020587,0.0035627158358693123,True
1780462896.9544735,test_-15_deg,-15,-21.80509032237199,-21.80509032237199,-43.82940631168089,-44.25668861447599,-28.82940631168089,4.91996701151833,0.004515110515058041,0.00403198366984725,0.003688591532409191,True
1780462897.2104893,test_-15_deg,-15,-22.037046643869754,-22.037046643869754,-44.41739945074131,-44.41739945074131,-29.417399450741307,5.873342553175063,0.004807050805538893,0.004056703299283981,0.0038268445059657097,True
1780462897.466553,test_-15_deg,-15,-22.035505325418598,-22.035505325418598,-44.413472871579216,-44.41739945074131,-29.413472871579216,4.2497474634803085,0.004336897283792496,0.0036816601641476154,0.0033465486485511065,True
1780462897.7225077,test_-15_deg,-15,-22.09179024179822,-22.09179024179822,-44.55703280982111,-44.41739945074131,-29.55703280982111,5.732044510619492,0.004699481185525656,0.004143404308706522,0.003768121125176549,True
1780462897.9785168,test_-15_deg,-15,-21.74441627761797,-21.74441627761797,-43.676557649897234,-44.413472871579216,-28.676557649897234,4.348410239384807,0.0043173898011446,0.003840487916022539,0.003444860689342022,True
1780462898.2345276,test_-15_deg,-15,-21.85985901999627,-21.85985901999627,-43.96771524303748,-44.413472871579216,-28.967715243037482,4.365268441798789,0.004422264639288187,0.004110897425562143,0.003587647806853056,True
1780462898.4905367,test_-15_deg,-15,-21.980321664055733,-21.980321664055733,-44.273063110657105,-44.273063110657105,-29.273063110657105,4.177213833467404,0.0043948558159172535,0.003661111695691943,0.003336816094815731,True
1780462898.7468455,test_-15_deg,-15,-22.062495068242196,-22.062495068242196,-44.48226864742352,-44.413472871579216,-29.482268647423517,5.190144591218635,0.0046844989992678165,0.003689478849992156,0.003576468676328659,True
1780462899.002806,test_-15_deg,-15,-21.94228217719217,-21.94228217719217,-44.176470183254644,-44.273063110657105,-29.176470183254644,4.782484662476077,0.004658279940485954,0.00379186705686152,0.0035746274515986443,True
1780462899.2588336,test_-15_deg,-15,-22.059083116899114,-22.059083116899114,-44.47356724302143,-44.273063110657105,-29.473567243021428,4.742331987266507,0.004385890904814005,0.003855453571304679,0.0033967099152505398,True
1780462899.514883,test_-15_deg,-15,-22.725657598854635,-22.725657598854635,-46.19915758676927,-44.273063110657105,-31.199157586769267,6.941197442228164,0.005227463319897652,0.003919208887964487,0.0039341687224805355,True
1780462899.770876,test_-15_deg,-15,-21.97132406656656,-21.97132406656656,-44.250201367516,-44.273063110657105,-29.250201367516,6.333313581090782,0.004356116987764835,0.0038495331536978483,0.0035025556571781635,True
1780462900.0268795,test_-15_deg,-15,-21.89837191770431,-21.89837191770431,-44.06516607074725,-44.273063110657105,-29.065166070747253,3.7047485220533214,0.0046871742233633995,0.0040013776160776615,0.0036372968461364508,True
1780462900.2828991,test_-15_deg,-15,-22.150217678327873,-22.150217678327873,-44.70643308576323,-44.47356724302143,-29.70643308576323,4.94763990454407,0.004251401871442795,0.003980180714279413,0.0034766036551445723,True
1780462900.5389256,test_-15_deg,-15,-22.13301602697749,-22.13301602697749,-44.66240810011468,-44.47356724302143,-29.662408100114682,5.548960527859002,0.004404537845402956,0.003584865713492036,0.003412628546357155,True
1780462900.7949092,test_-15_deg,-15,-22.164472189449086,-22.164472189449086,-44.74294070292646,-44.66240810011468,-29.74294070292646,4.769793774818221,0.0042777289636433125,0.0037326100282371044,0.003359428374096751,True
1780462901.0509958,test_-15_deg,-15,-21.437781990051942,-21.437781990051942,-42.90995030361099,-44.66240810011468,-27.90995030361099,5.930901332575729,0.004573028068989515,0.0037722932174801826,0.003611890133470297,True
1780462901.307023,test_-15_deg,-15,-22.110442439591676,-22.110442439591676,-44.60468513692774,-44.60468513692774,-29.604685136927742,4.743323035345565,0.004946943838149309,0.003682428738102317,0.0035805313382297754,True
1780462901.5629525,test_-15_deg,-15,-22.149614782228138,-22.149614782228138,-44.70488949972167,-44.66240810011468,-29.704889499721673,4.331261930127319,0.005137833766639233,0.003761752974241972,0.003832360031083226,True
1780462901.8189735,test_-15_deg,-15,-21.81184888485533,-21.81184888485533,-43.846456543367296,-44.66240810011468,-28.846456543367296,5.27127904114703,0.004432573448866606,0.004006911069154739,0.003584660356864333,True
1780462902.074984,test_-15_deg,-15,-21.9059859674906,-21.9059859674906,-44.08445121630238,-44.60468513692774,-29.084451216302377,5.694957351175378,0.0043194289319217205,0.0037564991507679224,0.00346324872225523,True
1780462902.331061,test_-15_deg,-15,-21.97137687498142,-21.97137687498142,-44.250335521007834,-44.250335521007834,-29.250335521007834,5.138732974613606,0.004885048605501652,0.00422697514295578,0.003997266758233309,True
1780462902.5870006,test_-15_deg,-15,-21.968040938252308,-21.968040938252308,-44.24186157160346,-44.24186157160346,-29.241861571603458,6.522788564415903,0.00423726299777627,0.0038942687679082155,0.003418529871851206,True
1780462902.8430514,test_-15_deg,-15,-22.230837685540077,-22.230837685540077,-44.91321584765657,-44.250335521007834,-29.913215847656573,4.253146865184948,0.004493765998631716,0.0036864413414150476,0.0035142044071108103,True
1780462903.0990405,test_-15_deg,-15,-21.899309876986447,-21.899309876986447,-44.06754142917584,-44.24186157160346,-29.06754142917584,5.829650948044077,0.004371435381472111,0.004188806749880314,0.003702065208926797,True
1780462903.3550768,test_-15_deg,-15,-22.50599970474213,-22.50599970474213,-45.6246708327962,-44.24186157160346,-30.6246708327962,5.22385958015056,0.004447640851140022,0.0037923355121165514,0.0035066043492406607,True
1780462903.6110444,test_-15_deg,-15,-21.887193728450047,-21.887193728450047,-44.0368649179969,-44.24186157160346,-29.0368649179969,5.685151489804553,0.005350645165890455,0.003754398785531521,0.003956364933401346,True
1780462903.8670883,test_-15_deg,-15,-22.15803975937205,-22.15803975937205,-44.72646357817123,-44.250335521007834,-29.726463578171227,6.1171874239595585,0.004409440327435732,0.004230177029967308,0.003653557039797306,True
1780462904.123196,test_-15_deg,-15,-21.545176509155997,-21.545176509155997,-43.17734747317929,-44.24186157160346,-28.17734747317929,3.8634923629017024,0.00532210199162364,0.004115980118513107,0.003955102525651455,True
1780462904.3791482,test_-15_deg,-15,-22.057690076258556,-22.057690076258556,-44.47001498328436,-44.47001498328436,-29.470014983284358,3.7708992191179846,0.004041719250380993,0.0039023892022669315,0.0033936905674636364,True
1780462904.6350822,test_-15_deg,-15,-22.157279979178117,-22.157279979178117,-44.724517657393875,-44.47001498328436,-29.724517657393875,4.936107718440168,0.004180245101451874,0.0038364690262824297,0.0034590577706694603,True
1780462904.891138,test_-15_deg,-15,-22.39467870050499,-22.39467870050499,-45.33576504702582,-44.724517657393875,-30.335765047025824,4.559359714810455,0.0044416747987270355,0.003425627714022994,0.0031698390375822783,True
1780462905.147148,test_-15_deg,-15,-22.271201956797317,-22.271201956797317,-45.017026268904175,-44.724517657393875,-30.017026268904175,4.640605128090903,0.004297599196434021,0.003817379241809249,0.00341140222735703,True
1780462905.4031556,test_-15_deg,-15,-21.493687957088806,-21.493687957088806,-43.04900279969652,-44.724517657393875,-28.049002799696517,5.115389007362707,0.004590462427586317,0.003804628737270832,0.0034804674796760082,True
1780462905.6591532,test_-15_deg,-15,-21.72572467157638,-21.72572467157638,-43.62954862029109,-44.47001498328436,-28.62954862029109,4.732477599375811,0.004626892507076263,0.0035110050812363625,0.0033287471160292625,True
1780462905.9151697,test_-15_deg,-15,-21.996919661835303,-21.996919661835303,-44.315259852470525,-44.47001498328436,-29.315259852470525,4.6164973270316185,0.004446909762918949,0.0036306227557361126,0.0032825435046106577,True
1780462906.1711886,test_-15_deg,-15,-21.380819955845887,-21.380819955845887,-42.76859300409106,-44.315259852470525,-27.76859300409106,4.997020476855796,0.004454314708709717,0.0038717486895620823,0.0034108420368283987,True
1780462906.4272032,test_-15_deg,-15,-21.837250145287065,-21.837250145287065,-43.91058146758515,-43.91058146758515,-28.910581467585153,4.407330738551123,0.004780437331646681,0.004076333250850439,0.003989313263446093,True
1780462906.6831925,test_-15_deg,-15,-22.32148745483203,-22.32148745483203,-45.14661639863863,-43.91058146758515,-30.146616398638628,6.438081069804757,0.004448388237506151,0.004236413631588221,0.003796904580667615,True
1780462906.9392593,test_-15_deg,-15,-21.59534867389408,-21.59534867389408,-43.302670844255374,-43.62954862029109,-28.302670844255374,5.647676868722859,0.00432648416608572,0.003866341896355152,0.003446921007707715,True
1780462907.1952264,test_-15_deg,-15,-22.17752729272314,-22.17752729272314,-44.776396721222746,-43.91058146758515,-29.776396721222746,4.534471575260612,0.004896209109574556,0.003955749329179525,0.0037795265670865774,True
1780462907.4513967,test_-15_deg,-15,-21.319877257834978,-21.319877257834978,-42.617713571022826,-43.91058146758515,-27.617713571022826,4.003066953748037,0.004422989673912525,0.003554681083187461,0.003338223323225975,True
1780462907.7072563,test_-15_deg,-15,-21.970590314782267,-21.970590314782267,-44.24833739011322,-43.91058146758515,-29.24833739011322,5.061923145082865,0.0047683813609182835,0.0036127418279647827,0.003555238712579012,True
1780462907.9632926,test_-15_deg,-15,-22.010386158004753,-22.010386158004753,-44.34951775103633,-44.24833739011322,-29.34951775103633,5.738770686284807,0.005120730027556419,0.004010119009763002,0.003726174123585224,True
1780462908.2192779,test_-15_deg,-15,-22.05164173636957,-22.05164173636957,-44.45459419639935,-44.34951775103633,-29.45459419639935,6.37114508573959,0.0047153751365840435,0.003927963320165873,0.003526560729369521,True
1780462908.4753368,test_-15_deg,-15,-21.436562599916417,-21.436562599916417,-42.90692086582678,-44.24833739011322,-27.906920865826777,4.69052539087523,0.004947124980390072,0.0039833057671785355,0.003787006950005889,True
