time,trial_name,true_angle_deg,delay_samples,corrected_delay_samples,estimated_angle_deg,smoothed_angle_deg,angle_error_deg,confidence,mic1_rms,mic2_rms,beamformed_rms,valid
1780461177.0790567,test_+30_deg,30,-29.05605901165912,-29.05605901165912,-67.33875575138138,-67.33875575138138,-97.33875575138138,3.573843784146033,0.1922955960035324,0.4122857451438904,0.2524169385433197,True
1780461177.3277276,test_+30_deg,30,15.833956422365887,15.833956422365887,30.190373364595256,-18.574191193393062,0.19037336459525633,5.931575409278372,0.004510978702455759,0.0038699100259691477,0.003451360622420907,True
1780461177.5837607,test_+30_deg,30,16.077904470239123,16.077904470239123,30.70529215314016,30.190373364595256,0.7052921531401601,5.0453983622367025,0.004662706982344389,0.004192477557808161,0.0037439228035509586,True
1780461177.8397622,test_+30_deg,30,15.606627419782665,15.606627419782665,29.71294619997365,29.95165978228445,-0.2870538000263494,4.752279878755909,0.004924125038087368,0.004003905225545168,0.0037057888694107533,True
1780461178.0957813,test_+30_deg,30,15.411556845112028,15.411556845112028,29.30507077306235,29.71294619997365,-0.6949292269376492,5.4197084414778125,0.004711880814284086,0.004031172953546047,0.0037606500554829836,True
1780461178.3517447,test_+30_deg,30,15.142125145257191,15.142125145257191,28.74437395905001,29.509008486518,-1.2556260409499913,6.152493213088455,0.005349295679479837,0.003992023412138224,0.004120946861803532,True
1780461178.6077735,test_+30_deg,30,15.374412765591659,15.374412765591659,29.22759096629151,29.30507077306235,-0.7724090337084917,5.493605857146674,0.005017860326915979,0.004326625727117062,0.003984272480010986,True
1780461178.8637803,test_+30_deg,30,15.801607575727632,15.801607575727632,30.12229525213534,29.71294619997365,0.12229525213534131,4.890436009399973,0.0047361282631754875,0.0036969883367419243,0.0035468440037220716,True
1780461179.1198492,test_+30_deg,30,16.144145740131798,16.144145740131798,30.84558577973552,29.71294619997365,0.8455857797355186,5.335594568349874,0.004701725207269192,0.0039062199648469687,0.003737831488251686,True
1780461179.3757982,test_+30_deg,30,15.300398479631903,15.300398479631903,29.073377018463248,29.30507077306235,-0.9266229815367524,4.204263514152046,0.004139583092182875,0.0035623221192508936,0.0031940105836838484,True
1780461179.6320105,test_+30_deg,30,15.660881750397012,15.660881750397012,29.826681207779693,29.30507077306235,-0.17331879222030722,6.042105711407933,0.005037923343479633,0.004332254640758038,0.004131792113184929,True
1780461179.8878505,test_+30_deg,30,15.799763782511153,15.799763782511153,30.11841640590922,29.826681207779693,0.11841640590921898,6.589341869517921,0.004533117637038231,0.003854011883959174,0.0036122091114521027,True
1780461180.1438673,test_+30_deg,30,15.470443536405115,15.470443536405115,29.428024784840765,29.826681207779693,-0.5719752151592346,5.477592635661688,0.005057306028902531,0.004177006892859936,0.003918829839676619,True
1780461180.3998814,test_+30_deg,30,15.336232082732003,15.336232082732003,29.148009932137867,29.826681207779693,-0.8519900678621326,6.678529346728275,0.004711272660642862,0.0045182001776993275,0.0041241832077503204,True
1780461180.6560473,test_+30_deg,30,15.656399829090802,15.656399829090802,29.817280721271686,29.817280721271686,-0.18271927872831384,4.910152439352688,0.005213798023760319,0.004088172223418951,0.003985438030213118,True
1780461180.9118662,test_+30_deg,30,15.692480820661487,15.692480820661487,29.892982961659825,29.817280721271686,-0.10701703834017451,5.906135680460507,0.004438444972038269,0.004114462528377771,0.0037615448236465454,True
1780461181.167945,test_+30_deg,30,15.253570000185507,15.253570000185507,28.975925754966195,29.817280721271686,-1.0240742450338054,3.9384622010923342,0.0047530001029372215,0.0040279049426317215,0.0037043599877506495,True
1780461181.4239204,test_+30_deg,30,15.428873982258994,15.428873982258994,29.34121314077469,29.428024784840765,-0.6587868592253088,4.449840640850904,0.005015298258513212,0.004314643330872059,0.003943559713661671,True
1780461181.679903,test_+30_deg,30,15.66087542718688,15.66087542718688,29.826667944708138,29.428024784840765,-0.17333205529186202,5.639471355738621,0.00441858870908618,0.004052772652357817,0.0037038587033748627,True
