time,trial_name,true_angle_deg,delay_samples,corrected_delay_samples,estimated_angle_deg,smoothed_angle_deg,angle_error_deg,confidence,mic1_rms,mic2_rms,beamformed_rms,valid
1780463078.8174355,test_-15_deg,-15,-30.784209514104802,-30.784209514104802,-77.87282088987193,-77.87282088987193,-62.87282088987193,4.98222952205355,0.23202547430992126,0.21032285690307617,0.16301943361759186,True
1780463079.0665262,test_-15_deg,-15,11.10777547916579,11.10777547916579,20.65712367762274,-28.6078486061246,35.657123677622735,2.631719831237562,0.004696788731962442,0.004623773507773876,0.0032671059016138315,True
1780463079.3224785,test_-15_deg,-15,-30.93244229066821,-30.93244229066821,-79.23190899362177,-77.87282088987193,-64.23190899362177,3.946893305430959,0.005032440181821585,0.004956280346959829,0.00421060249209404,True
1780463079.5784926,test_-15_deg,-15,-31.19365566449645,-31.19365566449645,-82.17452380650727,-78.55236494174684,-67.17452380650727,3.237757668795567,0.0043140919879078865,0.004461617674678564,0.0036738079506903887,True
1780463079.8345013,test_-15_deg,-15,-30.167098350458197,-30.167098350458197,-73.35235941634555,-77.87282088987193,-58.35235941634555,3.3899470239419696,0.004725247155874968,0.0042912838980555534,0.0038763065822422504,True
1780463080.0905166,test_-15_deg,-15,-28.535154719007213,-28.535154719007213,-64.99289550216714,-75.61259015310874,-49.992895502167144,3.3623500891406546,0.004892152734100819,0.004590294323861599,0.0041127754375338554,True
1780463080.3465302,test_-15_deg,-15,-30.726256802111084,-30.726256802111084,-77.38068177458452,-77.38068177458452,-62.38068177458452,4.661046668707633,0.005285279359668493,0.004891866818070412,0.004504579585045576,True
1780463080.6025436,test_-15_deg,-15,-30.96414983002636,-30.96414983002636,-79.54523063985599,-77.38068177458452,-64.54523063985599,5.95381505235071,0.004935771226882935,0.004688508342951536,0.004172403831034899,True
1780463080.858553,test_-15_deg,-15,-31.202938380493343,-31.202938380493343,-82.29957664700962,-79.23190899362177,-67.29957664700962,2.8502184733460694,0.005321198608726263,0.004644617438316345,0.004167506471276283,True
1780463081.1145902,test_-15_deg,-15,-30.11060751813366,-30.11060751813366,-72.9972242527813,-77.38068177458452,-57.997224252781294,4.267897937649731,0.005121894646435976,0.00518550630658865,0.004525458440184593,True
1780463081.3705869,test_-15_deg,-15,-30.921792644404093,-30.921792644404093,-79.1286757427602,-77.38068177458452,-64.1286757427602,4.657478046321898,0.005330580752342939,0.004797666799277067,0.0044020479544997215,True
1780463081.6265948,test_-15_deg,-15,-30.70605464536246,-30.70605464536246,-77.21350567977179,-77.38068177458452,-62.213505679771785,4.400891252532312,0.005462191067636013,0.0044855945743620396,0.0043156445026397705,True
1780463081.8825963,test_-15_deg,-15,-29.20872744304248,-29.20872744304248,-68.07103045679365,-77.38068177458452,-53.07103045679365,3.7021605629107333,0.005553740076720715,0.004894474521279335,0.004566321615129709,True
1780463082.1386304,test_-15_deg,-15,-29.176182381121425,-29.176182381121425,-67.91299555636638,-77.21350567977179,-52.91299555636638,3.324470395717619,0.004945878405123949,0.004920062609016895,0.00422839866951108,True
1780463082.3947062,test_-15_deg,-15,-30.97535796016046,-30.97535796016046,-79.65822959365403,-77.21350567977179,-64.65822959365403,5.131751070388614,0.005523450206965208,0.004967152141034603,0.00443707499653101,True
1780463082.6506677,test_-15_deg,-15,-28.86489983429202,-28.86489983429202,-66.45230689878073,-72.9972242527813,-51.45230689878073,2.831042293715649,0.00468140933662653,0.004262872971594334,0.0036420465912669897,True
1780463082.9066496,test_-15_deg,-15,-30.145319999973605,-30.145319999973605,-73.21458340511545,-73.21458340511545,-58.21458340511545,3.9811093041350447,0.004873156081885099,0.0048630377277731895,0.004116249270737171,True
1780463083.162688,test_-15_deg,-15,-30.978497109995093,-30.978497109995093,-79.69009767482908,-73.21458340511545,-64.69009767482908,3.8445184752872517,0.005764062516391277,0.005144043359905481,0.004610081668943167,True
1780463083.4187133,test_-15_deg,-15,-29.709692873287448,-29.709692873287448,-70.65789969091414,-70.65789969091414,-55.657899690914135,2.6670491516442927,0.005665875971317291,0.0051997448317706585,0.004931398667395115,True
1780463083.6746962,test_-15_deg,-15,-31.003197792799003,-31.003197792799003,-79.94433960152537,-73.21458340511545,-64.94433960152537,3.8818976280155373,0.00540249003097415,0.004755626432597637,0.004256822168827057,True
1780463083.9309564,test_-15_deg,-15,-27.137070306179343,-27.137070306179343,-59.52530701629877,-73.21458340511545,-44.52530701629877,4.778466026051884,0.0044465078972280025,0.004540033172816038,0.0036112708039581776,True
1780463084.187007,test_-15_deg,-15,-29.656157728944812,-29.656157728944812,-70.36589359439328,-70.65789969091414,-55.365893594393285,3.064107905767097,0.00527185620740056,0.0047327191568911076,0.004402508959174156,True
1780463084.4430351,test_-15_deg,-15,-22.939008379263228,-22.939008379263228,-46.76295818317391,-70.65789969091414,-31.762958183173907,2.5381900269679045,0.004651910625398159,0.0042409272864460945,0.0032476179767400026,True
1780463084.699022,test_-15_deg,-15,-32.0,-32.0,-90.0,-70.65789969091414,-75.0,3.779324060810174,0.005021633114665747,0.004594429861754179,0.004038337152451277,True
1780463084.955008,test_-15_deg,-15,-30.58298282594157,-30.58298282594157,-76.23814759345693,-70.65789969091414,-61.23814759345693,3.047990133398639,0.004604374524205923,0.004596513696014881,0.0038999959360808134,True
